#### 1 ####
Alkanshel

#### 2 ####
Alkanshel

#### 3 ####
Schpariel

#### 4 ####
Alkanshel

#### 5 ####


#### 6 ####


#### 7 ####


#### 8 ####


#### 9 ####


#### 10 ####
It's shaking!

#### 11 ####
It's diving!

#### 12 ####
It's spinning!

#### 13 ####
Nice to meet you!

#### 14 ####
Mass Limit/HP halved

#### 15 ####
Right is powerless.

#### 16 ####
Left is powerless.

#### 17 ####
Self-destructs to oblivion

#### 18 ####
Post-event, Xenobarrier lost.

#### 19 ####
Damage nullified

#### 20 ####
Seal

#### 21 ####


#### 22 ####


#### 23 ####


#### 24 ####


#### 25 ####


#### 26 ####


#### 27 ####


#### 28 ####


#### 29 ####


#### 30 ####


#### 31 ####


#### 32 ####


#### 33 ####


#### 34 ####


#### 35 ####


#### 36 ####


#### 37 ####


#### 38 ####


#### 39 ####


#### 40 ####


#### 41 ####


#### 42 ####


#### 43 ####


#### 44 ####


#### 45 ####


#### 46 ####


#### 47 ####


#### 48 ####


#### 49 ####


#### 50 ####


#### 51 ####


#### 52 ####


#### 53 ####


#### 54 ####


#### 55 ####


#### 56 ####


#### 57 ####


#### 58 ####


#### 59 ####


#### 60 ####


#### 61 ####


#### 62 ####


#### 63 ####


#### 64 ####


