jPSXdec: PSX media decoder (non-commercial) v2.0
Windows 11 10.0
Java 1.8.0_471
2026-01-17 02:51:30
02:51 jpsxdec.cdreaders.CdOpener INFO: C:\Users\JO\Desktop\XENO_ARC\Xenogears\XenogearsUSACD2.bin
02:51 jpsxdec.indexing.DiscIndex INFO: #:0|ID:?[0]|Sectors:41-67290|Type:Video|Dimensions:320x224|Frame Count:6725|Sector Frames:41-67281|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-6725
02:51 jpsxdec.indexing.DiscIndex INFO: #:1|ID:?[0.0]|Sectors:48-67432|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:2|ID:?[1]|Sectors:67433-72482|Type:Video|Dimensions:320x224|Frame Count:505|Sector Frames:67433-72473|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-505
02:51 jpsxdec.indexing.DiscIndex INFO: #:3|ID:?[1.0]|Sectors:67440-72504|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:4|ID:?[2]|Sectors:72505-74034|Type:Video|Dimensions:320x224|Frame Count:153|Sector Frames:72505-74025|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-153
02:51 jpsxdec.indexing.DiscIndex INFO: #:5|ID:?[2.0]|Sectors:72512-74096|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:6|ID:?[3]|Sectors:74097-79495|Type:Video|Dimensions:320x224|Frame Count:540|Sector Frames:74097-79487|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-540
02:51 jpsxdec.indexing.DiscIndex INFO: #:7|ID:?[3.0]|Sectors:74104-79568|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:8|ID:?[4]|Sectors:79569-117567|Type:Video|Dimensions:320x224|Frame Count:3800|Sector Frames:79569-117559|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-3800
02:51 jpsxdec.indexing.DiscIndex INFO: #:9|ID:?[4.0]|Sectors:79576-117696|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:10|ID:?[5]|Sectors:117697-120246|Type:Video|Dimensions:320x224|Frame Count:255|Sector Frames:117697-120237|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-255
02:51 jpsxdec.indexing.DiscIndex INFO: #:11|ID:?[5.0]|Sectors:117704-120312|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:12|ID:?[6]|Sectors:120313-146831|Type:Video|Dimensions:320x224|Frame Count:2652|Sector Frames:120313-146823|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-2652
02:51 jpsxdec.indexing.DiscIndex INFO: #:13|ID:?[6.0]|Sectors:120320-146856|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:14|ID:?[7]|Sectors:146857-149226|Type:Video|Dimensions:320x224|Frame Count:237|Sector Frames:146857-149217|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-237
02:51 jpsxdec.indexing.DiscIndex INFO: #:15|ID:?[7.0]|Sectors:146864-149312|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:16|ID:?[8]|Sectors:149313-158322|Type:Video|Dimensions:320x224|Frame Count:901|Sector Frames:149313-158313|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-901
02:51 jpsxdec.indexing.DiscIndex INFO: #:17|ID:?[8.0]|Sectors:149320-158376|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:18|ID:?[9]|Sectors:158377-160676|Type:Video|Dimensions:320x224|Frame Count:230|Sector Frames:158377-160667|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-230
02:51 jpsxdec.indexing.DiscIndex INFO: #:19|ID:?[9.0]|Sectors:158384-160744|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:20|ID:?[10]|Sectors:160745-166244|Type:Video|Dimensions:320x224|Frame Count:550|Sector Frames:160745-166235|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-550
02:51 jpsxdec.indexing.DiscIndex INFO: #:21|ID:?[10.0]|Sectors:160752-166296|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:22|ID:?[11]|Sectors:166297-172796|Type:Video|Dimensions:320x224|Frame Count:650|Sector Frames:166297-172787|Sectors/Frame:10/1|1st frame end sector:9|Disc Speed:2|Header Frames:1-650
02:51 jpsxdec.indexing.DiscIndex INFO: #:23|ID:?[11.0]|Sectors:166304-172872|Type:XA|File:1|Channel:1|Stereo?:Yes|Samples/Sec:37800|Bits/Sample:4|Sector stride:8|Disc speed:2x
02:51 jpsxdec.indexing.DiscIndex INFO: #:24|ID:SYSTEM.CNF|Sectors:172917-172917|Type:File|Size:67|Path:SYSTEM.CNF|Has mode 2 form 2:No|Has CD audio:No
02:51 jpsxdec.indexing.DiscIndex INFO: #:25|ID:SLUS_006.69|Sectors:172918-173065|Type:File|Size:303104|Path:SLUS_006.69|Has mode 2 form 2:No|Has CD audio:No
02:51 jpsxdec.indexing.DiscIndex INFO: #:26|ID:?[12]|Sectors:184618-184620|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:27|ID:?[13]|Sectors:184621-184623|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:28|ID:?[14]|Sectors:184624-184626|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:29|ID:?[15]|Sectors:184627-184629|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:30|ID:?[16]|Sectors:184630-184632|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:31|ID:?[17]|Sectors:184633-184635|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:32|ID:?[18]|Sectors:184636-184638|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:33|ID:?[19]|Sectors:184639-184641|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:34|ID:?[20]|Sectors:184642-184644|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:35|ID:?[21]|Sectors:184645-184647|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:36|ID:?[22]|Sectors:184648-184650|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:37|ID:?[23]|Sectors:184651-184653|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:38|ID:?[24]|Sectors:184654-184656|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:39|ID:?[25]|Sectors:184657-184659|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:40|ID:?[26]|Sectors:184660-184662|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:41|ID:?[27]|Sectors:184663-184665|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:42|ID:?[28]|Sectors:184666-184668|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:43|ID:?[29]|Sectors:184669-184671|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:44|ID:?[30]|Sectors:184672-184674|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:45|ID:?[31]|Sectors:184675-184677|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:46|ID:?[32]|Sectors:184678-184680|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:47|ID:?[33]|Sectors:184681-184683|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:48|ID:?[34]|Sectors:184684-184686|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:49|ID:?[35]|Sectors:184687-184689|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:50|ID:?[36]|Sectors:184690-184692|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:51|ID:?[37]|Sectors:184693-184695|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:52|ID:?[38]|Sectors:184696-184698|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:53|ID:?[39]|Sectors:184699-184701|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:54|ID:?[40]|Sectors:184702-184704|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:55|ID:?[41]|Sectors:184705-184707|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:56|ID:?[42]|Sectors:184708-184710|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:57|ID:?[43]|Sectors:184711-184713|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:58|ID:?[44]|Sectors:184714-184716|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:59|ID:?[45]|Sectors:184717-184719|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
